Linie;C;M;Y;K;C_K;M_K;Y_K;K_K;Hexadezimal;Hexadezimal_K
5;100;0;80;0;0;0;0;0;#00975f;#ffffff
21;0;100;100;0;0;0;0;0;#e30613;#ffffff
22;0;25;100;0;0;0;0;100;#fdc300;#000000
23;0;47;100;8;0;0;0;0;#e48f00;#ffffff
24;55;100;15;0;0;0;0;0;#8d2176;#ffffff
26;0;50;30;0;0;0;0;0;#f39b9a;#ffffff
27;87;100;0;0;0;0;0;0;#4e2583;#ffffff
28;35;40;0;0;0;0;0;0;#b2a0cd;#ffffff
29;70;0;0;0;0;0;0;0;#10bbef;#ffffff
30;35;40;0;0;0;0;0;0;#baabd4;#ffffff
31;70;30;0;0;0;0;0;0;#4b96d2;#ffffff
32;30;50;0;20;0;0;0;0;#a1c3d6;#ffffff
33;100;50;0;0;0;0;0;0;#0069b4;#ffffff
34;100;0;0;0;0;0;0;0;#009fe3;#ffffff
35;87;100;0;0;0;0;0;0;#4e2583;#ffffff
36;35;40;0;0;0;0;0;0;#b2a0cd;#ffffff
37;70;0;0;0;0;0;0;0;#10bbef;#ffffff
38;100;0;25;5;0;0;0;0;#0097b5;#ffffff
39;87;100;0;0;0;0;0;0;#512985;#ffffff
M1;16;0;61;21;0;0;0;100;#f0d51f;#000000
M2;16;0;61;21;0;0;0;100;#f0d51f;#000000
M3;16;0;61;21;0;0;0;100;#f0d51f;#000000
M4;16;0;61;21;0;0;0;100;#f0d51f;#000000
M5;16;0;61;21;0;0;0;100;#f0d51f;#000000
